FIPS	Admin2	Province_State	Country_Region	Last_Update	Lat	Long_	Confirmed	Deaths	Recovered	Active	Combined_Key	Incident_Rate	Case_Fatality_Ratio
	""	""	Afghanistan	2021-07-02T04:21:47Z	33.93911	67.709953	120216	4962	71924	43330	Afghanistan	308.813571068955	4.12757037332801
	""	""	Albania	2021-07-02T04:21:47Z	41.1533	20.1683	132523	2456	130014	53	Albania	4605.01077211759	1.8532632071414
	""	""	Algeria	2021-07-02T04:21:47Z	28.0339	1.6596	140075	3726	97380	38969	Algeria	319.433679148749	2.66000356951633
	""	""	Andorra	2021-07-02T04:21:47Z	42.5063	1.5218	13918	127	13721	70	Andorra	18013.3307448392	0.912487426354361
	""	""	Angola	2021-07-02T04:21:47Z	-11.2027	17.8739	38965	903	33271	4791	Angola	118.556204799401	2.31746439112024
	""	""	Antigua and Barbuda	2021-07-02T04:21:47Z	17.0608	-61.7964	1264	42	1222	0	Antigua and Barbuda	1290.74422024344	3.32278481012658
	""	""	Argentina	2021-07-02T04:21:47Z	-38.4161	-63.6167	4491551	94772	4092053	304726	Argentina	9937.98823283866	2.11000609811622
	""	""	Armenia	2021-07-02T04:21:47Z	40.0691	45.0382	225221	4517	216882	3822	Armenia	7600.51349302823	2.00558562478632
	""	Australian Capital Territory	Australia	2021-07-02T04:21:47Z	-35.4735	149.0124	124	3	121	0	Australian Capital Territory, Australia	28.965195047886	2.41935483870968
	""	New South Wales	Australia	2021-07-02T04:21:47Z	-33.8688	151.2093	5886	54	0	5832	New South Wales, Australia	72.5055432372506	0.91743119266055
	""	Northern Territory	Australia	2021-07-02T04:21:47Z	-12.4634	130.8456	185	0	174	11	Northern Territory, Australia	75.3257328990228	0
	""	Queensland	Australia	2021-07-02T04:21:47Z	-27.4698	153.0251	1705	7	1637	61	Queensland, Australia	33.3300752614603	0.410557184750733
	""	South Australia	Australia	2021-07-02T04:21:47Z	-34.9285	138.6007	807	4	789	14	South Australia, Australia	45.9436379163109	0.495662949194548
	""	Tasmania	Australia	2021-07-02T04:21:47Z	-42.8821	147.3272	234	13	221	0	Tasmania, Australia	43.6974789915966	5.55555555555556
	""	Victoria	Australia	2021-07-02T04:21:47Z	-37.8136	144.9631	20715	820	19866	29	Victoria, Australia	312.44815155583	3.95848419020034
	""	Western Australia	Australia	2021-07-02T04:21:47Z	-31.9505	115.8605	1028	9	1011	8	Western Australia, Australia	39.0785372158443	0.875486381322957
	""	""	Austria	2021-07-02T04:21:47Z	47.5162	14.5501	650474	10706	637909	1859	Austria	7222.3529934269	1.64587669914555
	""	""	Azerbaijan	2021-07-02T04:21:47Z	40.1431	47.5769	336122	4975	330275	872	Azerbaijan	3315.08234151201	1.48011733834739
	""	""	Bahamas	2021-07-02T04:21:47Z	25.025885	-78.035889	12735	246	11603	886	Bahamas	3238.41443567418	1.93168433451119
	""	""	Bahrain	2021-07-02T04:21:47Z	26.0275	50.55	265975	1353	261740	2882	Bahrain	15631.0329851673	0.508694426167873
	""	""	Bangladesh	2021-07-02T04:21:47Z	23.685	90.3563	921559	14646	820913	86000	Bangladesh	559.574019413261	1.58926341124117
	""	""	Barbados	2021-07-02T04:21:47Z	13.1939	-59.5432	4082	47	3999	36	Barbados	1420.46344272735	1.15139637432631
	""	""	Belarus	2021-07-02T04:21:47Z	53.7098	27.9534	418212	3153	410984	4075	Belarus	4425.84181445418	0.753923847235373
	""	Antwerp	Belgium	2021-07-02T04:21:47Z	51.2195	4.4024	141398	0	0	141398	Antwerp, Belgium	7610.28339287809	0
	""	Brussels	Belgium	2021-07-02T04:21:47Z	50.8503	4.3517	133613	0	0	133613	Brussels, Belgium	11055.7183780125	0
	""	East Flanders	Belgium	2021-07-02T04:21:47Z	51.0362	3.7373	124485	0	0	124485	East Flanders, Belgium	8216.48458414958	0
	""	Flemish Brabant	Belgium	2021-07-02T04:21:47Z	50.9167	4.5833	82682	0	0	82682	Flemish Brabant, Belgium	7213.73263245141	0
	""	Hainaut	Belgium	2021-07-02T04:21:47Z	50.5257	4.0621	159705	0	0	159705	Hainaut, Belgium	11880.68210983	0
	""	Liege	Belgium	2021-07-02T04:21:47Z	50.4496	5.8492	131448	0	0	131448	Liege, Belgium	11874.3405553066	0
	""	Limburg	Belgium	2021-07-02T04:21:47Z	50.9739	5.342	61193	0	0	61193	Limburg, Belgium	7001.10291425643	0
	""	Luxembourg	Belgium	2021-07-02T04:21:47Z	50.0547	5.4677	31225	0	0	31225	Luxembourg, Belgium	10970.0742697742	0
	""	Namur	Belgium	2021-07-02T04:21:47Z	50.331	4.8221	59789	0	0	59789	Namur, Belgium	12095.0791483336	0
	""	Unknown	Belgium	2021-07-02T04:21:47Z			21015	25180	0	-4165	Unknown, Belgium		119.819176778492
	""	Walloon Brabant	Belgium	2021-07-02T04:21:47Z	50.4	4.35	41691	0	0	41691	Walloon Brabant, Belgium	10329.8075565103	0
	""	West Flanders	Belgium	2021-07-02T04:21:47Z	51.0536	3.1458	97641	0	0	97641	West Flanders, Belgium	8165.35596372625	0
	""	""	Belize	2021-07-02T04:21:47Z	17.1899	-88.4976	13300	329	12665	306	Belize	3344.8937556115	2.47368421052632
	""	""	Benin	2021-07-02T04:21:47Z	9.3077	2.3158	8199	104	8000	95	Benin	67.6306697292249	1.26844737163069
	""	""	Bhutan	2021-07-02T04:21:47Z	27.5142	90.4336	2104	1	1811	292	Bhutan	272.675904470122	0.0475285171102662
	""	""	Bolivia	2021-07-02T04:21:47Z	-16.2902	-63.5887	441286	16822	363431	61033	Bolivia	3780.38981998588	3.81204026413709
	""	""	Bosnia and Herzegovina	2021-07-02T04:21:47Z	43.9159	17.6791	205032	9667	183534	11831	Bosnia and Herzegovina	6249.42278062006	4.71487377580085
	""	""	Botswana	2021-07-02T04:21:47Z	-22.3285	24.6849	71443	1158	66323	3962	Botswana	3038.02689629512	1.62087258373808
	""	Acre	Brazil	2021-07-02T04:21:47Z	-9.0238	-70.812	85736	1741	82354	1641	Acre, Brazil	9721.35134675458	2.03065223476719
	""	Alagoas	Brazil	2021-07-02T04:21:47Z	-9.5713	-36.782	217230	5360	207278	4592	Alagoas, Brazil	6509.04293427404	2.46743083367859
	""	Amapa	Brazil	2021-07-02T04:21:47Z	0.902	-52.003	117337	1838	96757	18742	Amapa, Brazil	13874.0332327892	1.56642832184222
	""	Amazonas	Brazil	2021-07-02T04:21:47Z	-3.4168	-65.8561	402754	13320	345584	43850	Amazonas, Brazil	9717.56723271285	3.3072297233547
	""	Bahia	Brazil	2021-07-02T04:21:47Z	-12.5797	-41.7007	1128432	24105	1092550	11777	Bahia, Brazil	7587.08494766109	2.13614998511208
	""	Ceara	Brazil	2021-07-02T04:21:47Z	-5.4984	-39.3206	887774	22627	622443	242704	Ceara, Brazil	9721.48945727358	2.54873424993298
	""	Distrito Federal	Brazil	2021-07-02T04:21:47Z	-15.7998	-47.8645	431151	9264	413925	7962	Distrito Federal, Brazil	14298.9279891539	2.14866717228999
	""	Espirito Santo	Brazil	2021-07-02T04:21:47Z	-19.1834	-40.3089	518845	11500	493135	14210	Espirito Santo, Brazil	12910.9277991365	2.21646156366545
	""	Goias	Brazil	2021-07-02T04:21:47Z	-15.827	-49.8362	678659	19269	648757	10633	Goias, Brazil	9669.77442289175	2.83927568926368
	""	Maranhao	Brazil	2021-07-02T04:21:47Z	-4.9609	-45.2744	318394	9065	276239	33090	Maranhao, Brazil	4500.15342363679	2.84710139010157
	""	Mato Grosso	Brazil	2021-07-02T04:21:47Z	-12.6819	-56.9211	451080	11846	430601	8633	Mato Grosso, Brazil	12945.4556307911	2.62614170435399
	""	Mato Grosso do Sul	Brazil	2021-07-02T04:21:47Z	-20.7722	-54.7852	336087	8231	315039	12817	Mato Grosso do Sul, Brazil	12093.8716495873	2.4490682472098
	""	Minas Gerais	Brazil	2021-07-02T04:21:47Z	-18.5122	-44.555	1810854	46459	1686090	78305	Minas Gerais, Brazil	8554.35721388151	2.565585077538
	""	Para	Brazil	2021-07-02T04:21:47Z	-1.9981	-54.9306	554681	15491	517245	21945	Para, Brazil	6447.63110893871	2.79277638859092
	""	Paraiba	Brazil	2021-07-02T04:21:47Z	-7.24	-36.782	396904	8628	262724	125552	Paraiba, Brazil	9877.8361161805	2.17382540866305
	""	Parana	Brazil	2021-07-02T04:21:47Z	-25.2521	-52.0215	1292791	30943	901606	360242	Parana, Brazil	11306.5931593061	2.3935036676462
	""	Pernambuco	Brazil	2021-07-02T04:21:47Z	-8.8137	-36.9541	552289	17720	467422	67147	Pernambuco, Brazil	5778.85211902266	3.20846513329072
	""	Piaui	Brazil	2021-07-02T04:21:47Z	-7.7183	-42.7289	296389	6624	290026	-261	Piaui, Brazil	9054.94791531415	2.23490075542615
	""	Rio Grande do Norte	Brazil	2021-07-02T04:21:47Z	-5.4026	-36.9541	343352	6797	150649	185906	Rio Grande do Norte, Brazil	9790.88658691995	1.97960110906592
	""	Rio Grande do Sul	Brazil	2021-07-02T04:21:47Z	-30.0346	-51.2177	1219231	31497	1173125	14609	Rio Grande do Sul, Brazil	10716.4049203853	2.58334966876662
	""	Rio de Janeiro	Brazil	2021-07-02T04:21:47Z	-22.9068	-43.1729	960495	55703	895595	9197	Rio de Janeiro, Brazil	5563.26771539298	5.79940551486473
	""	Rondonia	Brazil	2021-07-02T04:21:47Z	-11.5057	-63.5806	248173	6149	234484	7540	Rondonia, Brazil	13964.0732040119	2.47770708336523
	""	Roraima	Brazil	2021-07-02T04:21:47Z	-2.7376	-62.0751	112643	1747	104946	5950	Roraima, Brazil	18595.2875804154	1.55091750042169
	""	Santa Catarina	Brazil	2021-07-02T04:21:47Z	-27.2423	-50.2189	1055369	16908	1018514	19947	Santa Catarina, Brazil	14729.9403694848	1.60209367529272
	""	Sao Paulo	Brazil	2021-07-02T04:21:47Z	-23.5505	-46.6333	3743291	128322	3321896	293073	Sao Paulo, Brazil	8151.93494098713	3.42805301538139
	""	Sergipe	Brazil	2021-07-02T04:21:47Z	-10.5741	-37.3857	264213	5714	247089	11410	Sergipe, Brazil	11494.0383591393	2.1626490747995
	""	Tocantins	Brazil	2021-07-02T04:21:47Z	-10.1753	-48.2982	198150	3227	181180	13743	Tocantins, Brazil	12598.0217005136	1.62856421902599
	""	""	Brunei	2021-07-02T04:21:47Z	4.5353	114.7277	261	3	248	10	Brunei	59.6594610533438	1.14942528735632
	""	""	Bulgaria	2021-07-02T04:21:47Z	42.7339	25.4858	421902	18067	394930	8905	Bulgaria	6071.8909050874	4.28227408260686
	""	""	Burkina Faso	2021-07-02T04:21:47Z	12.2383	-1.5616	13485	168	13308	9	Burkina Faso	64.5114129946509	1.24582869855395
	""	""	Burma	2021-07-02T04:21:47Z	21.9162	95.956	159347	3347	136992	19008	Burma	292.864553025141	2.10044745116005
	""	""	Burundi	2021-07-02T04:21:47Z	-3.3731	29.9189	5482	8	773	4701	Burundi	46.1029431119789	0.145932141554177
	""	""	Cabo Verde	2021-07-02T04:21:47Z	16.5388	-23.0418	32594	287	31692	615	Cabo Verde	5862.35674151241	0.880530158924956
	""	""	Cambodia	2021-07-02T04:21:47Z	11.55	104.9167	51384	628	44858	5898	Cambodia	307.339488775954	1.22217032539312
	""	""	Cameroon	2021-07-02T04:21:47Z	3.848	11.5021	80858	1324	35261	44273	Cameroon	304.597356484611	1.63743847238369
	""	Alberta	Canada	2021-07-02T04:21:47Z	53.9333	-116.5765	231987	2301	228631	1055	Alberta, Canada	5256.726154086	0.991865923521577
	""	British Columbia	Canada	2021-07-02T04:21:47Z	53.7267	-127.6476	147621	1754	145032	835	British Columbia, Canada	2888.34665090433	1.18817783377704
	""	Diamond Princess	Canada	2020-12-21T13:27:30Z			0	1	0		Diamond Princess, Canada		
	""	Grand Princess	Canada	2020-12-21T13:27:30Z			13	0	13	0	Grand Princess, Canada		0
	""	Manitoba	Canada	2021-07-02T04:21:47Z	53.7609	-98.8139	56167	1141	53631	1395	Manitoba, Canada	4077.40884504511	2.03144194989941
	""	New Brunswick	Canada	2021-07-02T04:21:47Z	46.5653	-66.4619	2332	45	2262	25	New Brunswick, Canada	298.97704210166	1.92967409948542
	""	Newfoundland and Labrador	Canada	2021-07-02T04:21:47Z	53.1355	-57.6604	1386	7	1370	9	Newfoundland and Labrador, Canada	265.840629885013	0.505050505050505
	""	Northwest Territories	Canada	2021-07-02T04:21:47Z	64.8255	-124.8457	128	0	128	0	Northwest Territories,Canada	285.052556565117	0
	""	Nova Scotia	Canada	2021-07-02T04:21:47Z	44.682	-63.7443	5840	92	5697	51	Nova Scotia, Canada	597.468737755216	1.57534246575342
	""	Nunavut	Canada	2021-07-02T04:21:47Z	70.2998	-83.1076	657	4	653	0	Nunavut, Canada	1694.17225373904	0.60882800608828
	""	Ontario	Canada	2021-07-02T04:21:47Z	51.2538	-85.3232	552476	9187	541073	2258	Ontario, Canada	3755.31876496373	1.65527552328065
	""	Prince Edward Island	Canada	2021-07-02T04:21:47Z	46.5107	-63.4168	207	0	206	1	Prince Edward Island, Canada	130.881776451397	0
	""	Quebec	Canada	2021-07-02T04:21:47Z	52.9399	-73.5491	375276	11210	362756	891	Quebec, Canada	4390.62208278274	2.99047370063784
	""	Repatriated Travellers	Canada	2021-07-02T04:21:47Z			13	0	13	0	Repatriated Travellers, Canada		0
	""	Saskatchewan	Canada	2021-07-02T04:21:47Z	52.9399	-106.4509	48861	568	47873	420	Saskatchewan, Canada	4134.92475877278	1.16248132457379
	""	Yukon	Canada	2021-07-02T04:21:47Z	64.2823	-135	357	5	219	133	Yukon, Canada	869.078338770145	1.40056022408964
	""	""	Central African Republic	2021-07-02T04:21:47Z	6.6111	20.9394	7141	98	6859	184	Central African Republic	147.854015227245	1.37235681277132
	""	""	Chad	2021-07-02T04:21:47Z	15.4542	18.7322	4951	174	4769	8	Chad	30.1414982315385	3.51444152696425
	""	Antofagasta	Chile	2021-07-02T04:21:47Z	-23.6509	-70.3975	57541	1119	55598	824	Antofagasta, Chile	9471.23946972515	1.94470030065519
	""	Araucania	Chile	2021-07-02T04:21:47Z	-38.9489	-72.3311	92750	1216	89984	1550	Araucania, Chile	9689.47707119755	1.31105121293801
	""	Arica y Parinacota	Chile	2021-07-02T04:21:47Z	-18.594	-69.4785	25109	478	24129	502	Arica y Parinacota, Chile	11106.8351115594	1.90369986857302
	""	Atacama	Chile	2021-07-02T04:21:47Z	-27.5661	-70.0503	24775	278	23772	725	Atacama, Chile	8574.32582092032	1.12209889001009
	""	Aysen	Chile	2021-07-02T04:21:47Z	-45.9864	-73.7669	7681	60	7420	201	Aysen, Chile	7445.85974912271	0.781148287983335
	""	Biobio	Chile	2021-07-02T04:21:47Z	-37.4464	-72.1416	143376	2312	139117	1947	Biobio, Chile	9209.63126403114	1.61254324294164
	""	Coquimbo	Chile	2021-07-02T04:21:47Z	-29.959	-71.3389	45076	811	43364	901	Coquimbo, Chile	5949.95155665495	1.79918360102937
	""	Los Lagos	Chile	2021-07-02T04:21:47Z	-41.9198	-72.1416	84636	1199	82429	1008	Los Lagos, Chile	10213.006270001	1.41665485136349
	""	Los Rios	Chile	2021-07-02T04:21:47Z	-40.231	-72.3311	45366	538	43743	1085	Los Rios, Chile	11788.3675426219	1.185910152978
	""	Magallanes	Chile	2021-07-02T04:21:47Z	-52.368	-70.9863	28878	451	28281	146	Magallanes, Chile	17340.7072472123	1.56174250294342
	""	Maule	Chile	2021-07-02T04:21:47Z	-35.5183	-71.6885	95925	1519	92654	1752	Maule, Chile	9179.86506531413	1.58352879854053
	""	Metropolitana	Chile	2021-07-02T04:21:47Z	-33.4376	-70.6505	654152	17046	628164	8942	Metropolitana, Chile	9196.81790932639	2.60581638518265
	""	Nuble	Chile	2021-07-02T04:21:47Z	-36.7226	-71.7622	33996	565	32968	463	Nuble, Chile	7073.52546456683	1.66196023061537
	""	OHiggins	Chile	2021-07-02T04:21:47Z	-34.5755	-71.0022	65501	1326	63230	945	OHiggins, Chile	7162.06242380174	2.02439657409811
	""	Tarapaca	Chile	2021-07-02T04:21:47Z	-19.9232	-69.5132	39019	733	37931	355	Tarapaca, Chile	11803.9799369551	1.87857197775443
	""	Unknown	Chile	2021-07-02T04:21:47Z			52	0	52	0	Unknown, Chile		0
	""	Valparaiso	Chile	2021-07-02T04:21:47Z	-33.0472	-71.6127	114724	2937	109575	2212	Valparaiso, Chile	6317.74181646367	2.56005718071197
	""	Anhui	China	2021-07-02T04:21:47Z	31.8257	117.2264	1008	6	998	4	Anhui, China	1.59392789373814	0.595238095238095
	""	Beijing	China	2021-07-02T04:21:47Z	40.1824	116.4142	1078	9	1057	12	Beijing, China	5.00464252553389	0.834879406307978
	""	Chongqing	China	2021-07-02T04:21:47Z	30.0572	107.874	598	6	591	1	Chongqing, China	1.9277885235332	1.00334448160535
	""	Fujian	China	2021-07-02T04:21:47Z	26.0789	117.9874	685	1	625	59	Fujian, China	1.73813752854605	0.145985401459854
	""	Gansu	China	2021-07-02T04:21:47Z	35.7518	104.2861	195	2	192	1	Gansu, China	0.739476678043231	1.02564102564103
	""	Guangdong	China	2021-07-02T04:21:47Z	23.3417	113.4244	2745	8	2593	144	Guangdong, China	2.41935483870968	0.29143897996357
	""	Guangxi	China	2021-07-02T04:21:47Z	23.8298	108.7881	275	2	273	0	Guangxi, China	0.558262281770199	0.727272727272727
	""	Guizhou	China	2021-07-02T04:21:47Z	26.8154	106.8748	147	2	145	0	Guizhou, China	0.408333333333333	1.36054421768707
	""	Hainan	China	2021-07-02T04:21:47Z	19.1959	109.7453	188	6	181	1	Hainan, China	2.01284796573876	3.19148936170213
	""	Hebei	China	2021-07-02T04:21:47Z	37.8957	114.9042	1317	7	1310	0	Hebei, China	1.74298570672313	0.531511009870919
	""	Heilongjiang	China	2021-07-02T04:21:47Z	47.862	127.7615	1612	13	1599	0	Heilongjiang, China	4.27246223164591	0.806451612903226
	""	Henan	China	2021-07-02T04:21:47Z	33.882	113.614	1317	22	1291	4	Henan, China	1.37116085372202	1.67046317388003
	""	Hong Kong	China	2021-07-02T04:21:47Z	22.3	114.2	11927	211	11631	85	Hong Kong, China	159.090557434532	1.7690953299237
	""	Hubei	China	2021-07-02T04:21:47Z	30.9756	112.2707	68162	4512	63648	2	Hubei, China	115.196890316039	6.6195240749978
	""	Hunan	China	2021-07-02T04:21:47Z	27.6104	111.7088	1057	4	1047	6	Hunan, China	1.53210610233367	0.378429517502365
	""	Inner Mongolia	China	2021-07-02T04:21:47Z	44.0935	113.9448	394	1	391	2	Inner Mongolia, China	1.55485398579321	0.253807106598985
	""	Jiangsu	China	2021-07-02T04:21:47Z	32.9711	119.455	743	0	732	11	Jiangsu, China	0.922866724630481	0
	""	Jiangxi	China	2021-07-02T04:21:47Z	27.614	115.7221	937	1	936	0	Jiangxi, China	2.01592082616179	0.106723585912487
	""	Jilin	China	2021-07-02T04:21:47Z	43.6661	126.1923	573	3	570	0	Jilin, China	2.11908284023669	0.523560209424084
	""	Liaoning	China	2021-07-02T04:21:47Z	41.2956	122.6085	428	2	424	2	Liaoning, China	0.981876577196605	0.467289719626168
	""	Macau	China	2021-07-02T04:21:47Z	22.1667	113.55	54	0	51	3	Macau, China	8.31611077059547	0
	""	Ningxia	China	2021-07-02T04:21:47Z	37.2692	106.1655	76	0	75	1	Ningxia, China	1.1046511627907	0
	""	Qinghai	China	2021-07-02T04:21:47Z	35.7452	95.9956	18	0	18	0	Qinghai, China	0.298507462686567	0
	""	Shaanxi	China	2021-07-02T04:21:47Z	35.1917	108.8701	627	3	618	6	Shaanxi, China	1.62267080745342	0.478468899521531
	""	Shandong	China	2021-07-02T04:21:47Z	36.3427	118.1498	883	7	876	0	Shandong, China	0.878869314223151	0.792751981879955
	""	Shanghai	China	2021-07-02T04:21:47Z	31.202	121.4491	2207	7	2153	47	Shanghai, China	9.10478547854786	0.31717263253285
	""	Shanxi	China	2021-07-02T04:21:47Z	37.5777	112.2922	253	0	252	1	Shanxi, China	0.680473372781065	0
	""	Sichuan	China	2021-07-02T04:21:47Z	30.6171	102.7103	1100	3	1055	42	Sichuan, China	1.31878671622108	0.272727272727273
	""	Tianjin	China	2021-07-02T04:21:47Z	39.3054	117.323	401	3	390	8	Tianjin, China	2.57051282051282	0.748129675810474
	""	Tibet	China	2021-07-02T04:21:47Z	31.6927	88.0924	1	0	1	0	Tibet, China	0.0290697674418605	0
	""	Unknown	China	2021-07-02T04:21:47Z			0	0	19	-19	Unknown, China		
	""	Xinjiang	China	2021-07-02T04:21:47Z	41.1129	85.2401	980	3	977	0	Xinjiang, China	3.9404905508645	0.306122448979592
	""	Yunnan	China	2021-07-02T04:21:47Z	24.974	101.487	419	2	364	53	Yunnan, China	0.867494824016563	0.477326968973747
	""	Zhejiang	China	2021-07-02T04:21:47Z	29.1832	120.0934	1386	1	1337	48	Zhejiang, China	2.41589681017954	0.0721500721500722
	""	Amazonas	Colombia	2021-07-02T04:21:47Z	-1.4429	-71.5724	6405	244	6114	47	Amazonas, Colombia	8362.81972607032	3.80952380952381
	""	Antioquia	Colombia	2021-07-02T04:21:47Z	7.1986	-75.3412	646615	13890	598622	34103	Antioquia, Colombia	10092.1602309437	2.14810977165701
	""	Arauca	Colombia	2021-07-02T04:21:47Z	7.0762	-70.7105	10704	310	9905	489	Arauca, Colombia	4082.78471549429	2.89611360239163
	""	Atlantico	Colombia	2021-07-02T04:21:47Z	10.6966	-74.8741	291834	8977	278115	4742	Atlantico, Colombia	11509.8419770011	3.07606378968866
	""	Bolivar	Colombia	2021-07-02T04:21:47Z	8.6704	-74.03	132539	2527	127254	2758	Bolivar, Colombia	6402.51001154528	1.90660862085877
	""	Boyaca	Colombia	2021-07-02T04:21:47Z	5.4545	-73.362	90163	2088	84177	3898	Boyaca, Colombia	7406.33953683989	2.31580581835121
	""	Caldas	Colombia	2021-07-02T04:21:47Z	5.2983	-75.2479	89587	1847	84738	3002	Caldas, Colombia	8974.36025865135	2.06168305669349
	""	Capital District	Colombia	2021-07-02T04:21:47Z	4.711	-74.0721	1267637	23847	1157388	86402	Capital District, Colombia	17101.1900602302	1.88121678366914
	""	Caqueta	Colombia	2021-07-02T04:21:47Z	0.8699	-73.8419	20351	778	19100	473	Caqueta, Colombia	5068.88109014195	3.82290796521056
	""	Casanare	Colombia	2021-07-02T04:21:47Z	5.7589	-71.5724	29692	726	27448	1518	Casanare, Colombia	7061.05054886517	2.44510305806278
	""	Cauca	Colombia	2021-07-02T04:21:47Z	2.705	-76.826	42487	1125	39365	1997	Cauca, Colombia	2901.1504361934	2.64786875985596
	""	Cesar	Colombia	2021-07-02T04:21:47Z	9.3373	-73.6536	80170	2185	75823	2162	Cesar, Colombia	6677.63919591795	2.72545840089809
	""	Choco	Colombia	2021-07-02T04:21:47Z	5.2528	-76.826	14384	348	13656	380	Choco, Colombia	2689.47283789494	2.41935483870968
