FIPS	Admin2	Province_State	Country_Region	Last_Update	Lat	Long_	Confirmed	Deaths	Recovered	Active	Combined_Key	Incidence_Rate	Case-Fatality_Ratio
	""	""	Afghanistan	2020-11-02T05:25:04Z	33.93911	67.709953	41425	1536	34326	5639	Afghanistan	106.608704439781	3.70111563576781
	""	""	Albania	2020-11-02T05:25:04Z	41.1533	20.1683	21202	518	11246	9438	Albania	736.743345611231	2.44316573908122
	""	""	Algeria	2020-11-02T05:25:04Z	28.0339	1.6596	58272	1973	40395	15904	Algeria	132.886234883854	3.38584568918177
	""	""	Andorra	2020-11-02T05:25:04Z	42.5063	1.5218	4825	75	3475	1275	Andorra	6244.74212127095	1.55440414507772
	""	""	Angola	2020-11-02T05:25:04Z	-11.2027	17.8739	11035	286	4920	5829	Angola	33.575457974115	2.59175351155415
	""	""	Antigua and Barbuda	2020-11-02T05:25:04Z	17.0608	-61.7964	128	3	117	8	Antigua and Barbuda	130.708275467691	2.34375
	""	""	Argentina	2020-11-02T05:25:04Z	-38.4161	-63.6167	1173533	31140	985316	157077	Argentina	2596.55454092536	2.65352572104917
	""	""	Armenia	2020-11-02T05:25:04Z	40.0691	45.0382	92254	1363	55827	35064	Armenia	3113.28771200654	1.47744271251111
	""	Australian Capital Territory	Australia	2020-11-02T05:25:04Z	-35.4735	149.0124	114	3	111	0	Australian Capital Territory, Australia	26.6292922214436	2.63157894736842
	""	New South Wales	Australia	2020-11-02T05:25:04Z	-33.8688	151.2093	4432	53	0	1231	New South Wales, Australia	54.5947277654595	1.19584837545126
	""	Northern Territory	Australia	2020-11-02T05:25:04Z	-12.4634	130.8456	38	0	33	5	Northern Territory, Australia	15.4723127035831	0
	""	Queensland	Australia	2020-11-02T05:25:04Z	-27.4698	153.0251	1172	6	1163	3	Queensland, Australia	22.9107614113967	0.511945392491468
	""	South Australia	Australia	2020-11-02T05:25:04Z	-34.9285	138.6007	501	4	485	12	South Australia, Australia	28.5226302305722	0.798403193612774
	""	Tasmania	Australia	2020-11-02T05:25:04Z	-42.8821	147.3272	230	13	217	0	Tasmania, Australia	42.9505135387488	5.65217391304348
	""	Victoria	Australia	2020-11-02T05:25:04Z	-37.8136	144.9631	20345	819	19477	49	Victoria, Australia	306.867373565212	4.02555910543131
	""	Western Australia	Australia	2020-11-02T05:25:04Z	-31.9505	115.8605	769	9	718	42	Western Australia, Australia	29.2328746293621	1.1703511053316
	""	""	Austria	2020-11-02T05:25:04Z	47.5162	14.5501	109881	1130	69336	39415	Austria	1220.03242138923	1.02838525313749
	""	""	Azerbaijan	2020-11-02T05:25:04Z	40.1431	47.5769	56444	740	44157	11547	Azerbaijan	556.69223580814	1.31103394514917
	""	""	Bahamas	2020-11-02T05:25:04Z	25.025885	-78.035889	6714	144	4422	2148	Bahamas	1707.31955407275	2.14477211796247
	""	""	Bahrain	2020-11-02T05:25:04Z	26.0275	50.55	81923	321	78997	2605	Bahrain	4814.51683520581	0.391831353832257
	""	""	Bangladesh	2020-11-02T05:25:04Z	23.685	90.3563	409252	5941	325940	77371	Bangladesh	248.49932190225	1.45167280795207
	""	""	Barbados	2020-11-02T05:25:04Z	13.1939	-59.5432	237	7	221	9	Barbados	82.4717873411026	2.9535864978903
	""	""	Belarus	2020-11-02T05:25:04Z	53.7098	27.9534	99459	985	87188	11286	Belarus	1052.5518182735	0.990357835892177
	""	""	Belgium	2020-11-02T05:25:04Z	50.8333	4.469936	441018	11737	25819	403462	Belgium	3805.2856971275	2.66134262093611
	""	""	Belize	2020-11-02T05:25:04Z	17.1899	-88.4976	3577	59	2207	1311	Belize	899.600373219725	1.64942689404529
	""	""	Benin	2020-11-02T05:25:04Z	9.3077	2.3158	2683	41	2455	187	Benin	22.1311241472753	1.5281401416325
	""	""	Bhutan	2020-11-02T05:25:04Z	27.5142	90.4336	354	0	325	29	Bhutan	45.8779801247259	0
	""	""	Bolivia	2020-11-02T05:25:04Z	-16.2902	-63.5887	141833	8731	111848	21254	Bolivia	1215.04881038161	6.15583115353973
	""	""	Bosnia and Herzegovina	2020-11-02T05:25:04Z	43.9159	17.6791	51505	1248	28194	22063	Bosnia and Herzegovina	1569.88431228216	2.42306572177459
	""	""	Botswana	2020-11-02T05:25:04Z	-22.3285	24.6849	6642	24	4676	1942	Botswana	282.442991548397	0.3613369467028
	""	Acre	Brazil	2020-11-02T05:25:04Z	-9.0238	-70.812	30951	693	28185	2073	Acre, Brazil	3509.44230583887	2.23902297179413
	""	Alagoas	Brazil	2020-11-02T05:25:04Z	-9.5713	-36.782	90820	2242	87842	736	Alagoas, Brazil	2721.31510054214	2.46861924686192
	""	Amapa	Brazil	2020-11-02T05:25:04Z	0.902	-52.003	52500	748	44424	7328	Amapa, Brazil	6207.64758534333	1.4247619047619
	""	Amazonas	Brazil	2020-11-02T05:25:04Z	-3.4168	-65.8561	161974	4555	138158	19261	Amazonas, Brazil	3908.07598422718	2.81217973254967
	""	Bahia	Brazil	2020-11-02T05:25:04Z	-12.5797	-41.7007	354043	7645	339926	6472	Bahia, Brazil	2380.43082447571	2.15934222679166
	""	Ceara	Brazil	2020-11-02T05:25:04Z	-5.4984	-39.3206	274341	9360	234363	30618	Ceara, Brazil	3004.14648232308	3.41181230658196
	""	Distrito Federal	Brazil	2020-11-02T05:25:04Z	-15.7998	-47.8645	213456	3688	204276	5492	Distrito Federal, Brazil	7079.17173531507	1.72775653998951
	""	Espirito Santo	Brazil	2020-11-02T05:25:04Z	-19.1834	-40.3089	155993	3862	143689	8442	Espirito Santo, Brazil	3881.72645042489	2.47575211708218
	""	Goias	Brazil	2020-11-02T05:25:04Z	-15.827	-49.8362	255746	5759	246197	3790	Goias, Brazil	3643.95982305823	2.25184362609777
	""	Maranhao	Brazil	2020-11-02T05:25:04Z	-4.9609	-45.2744	185917	4061	179359	2497	Maranhao, Brazil	2627.73489469739	2.18430805144231
	""	Mato Grosso	Brazil	2020-11-02T05:25:04Z	-12.6819	-56.9211	143027	3802	134322	4903	Mato Grosso, Brazil	4104.70356146394	2.6582393534088
	""	Mato Grosso do Sul	Brazil	2020-11-02T05:25:04Z	-20.7722	-54.7852	82618	1602	77488	3528	Mato Grosso do Sul, Brazil	2972.95488354385	1.93904476022174
	""	Minas Gerais	Brazil	2020-11-02T05:25:04Z	-18.5122	-44.555	359991	9038	329283	21670	Minas Gerais, Brazil	1700.5742085129	2.51061832101358
	""	Para	Brazil	2020-11-02T05:25:04Z	-1.9981	-54.9306	253080	6751	236782	9547	Para, Brazil	2941.81066423802	2.66753595700964
	""	Paraiba	Brazil	2020-11-02T05:25:04Z	-7.24	-36.782	133220	3107	108737	21376	Paraiba, Brazil	3315.4750957349	2.33223239753791
	""	Parana	Brazil	2020-11-02T05:25:04Z	-25.2521	-52.0215	214210	5222	162266	46722	Parana, Brazil	1873.45465791064	2.43779468745623
	""	Pernambuco	Brazil	2020-11-02T05:25:04Z	-8.8137	-36.9541	162977	8632	145095	9250	Pernambuco, Brazil	1705.30280668627	5.29645287371838
	""	Piaui	Brazil	2020-11-02T05:25:04Z	-7.7183	-42.7289	113546	2404	110896	246	Piaui, Brazil	3468.93142455442	2.11720360030296
	""	Rio Grande do Norte	Brazil	2020-11-02T05:25:04Z	-5.4026	-36.9541	81312	2578	45546	33188	Rio Grande do Norte, Brazil	2318.66006359548	3.17050373868556
	""	Rio Grande do Sul	Brazil	2020-11-02T05:25:04Z	-30.0346	-51.2177	248482	5804	231301	11377	Rio Grande do Sul, Brazil	2184.02724949348	2.33578287360855
	""	Rio de Janeiro	Brazil	2020-11-02T05:25:04Z	-22.9068	-43.1729	311014	20611	285592	4811	Rio de Janeiro, Brazil	1801.41921117261	6.62703286668767
	""	Rondonia	Brazil	2020-11-02T05:25:04Z	-11.5057	-63.5806	71889	1457	64928	5504	Rondonia, Brazil	4045.01399653955	2.02673566192324
	""	Roraima	Brazil	2020-11-02T05:25:04Z	-2.7376	-62.0751	57407	692	53124	3591	Roraima, Brazil	9476.8398757926	1.20542790948839
	""	Santa Catarina	Brazil	2020-11-02T05:25:04Z	-27.2423	-50.2189	260057	3122	244264	12671	Santa Catarina, Brazil	3629.65380134067	1.20050604290598
	""	Sao Paulo	Brazil	2020-11-02T05:25:04Z	-23.5505	-46.6333	1117147	39331	1005729	72087	Sao Paulo, Brazil	2432.86179554807	3.5206646931872
	""	Sergipe	Brazil	2020-11-02T05:25:04Z	-10.5741	-37.3857	84362	2211	76685	5466	Sergipe, Brazil	3669.99377038112	2.62084824921173
	""	Tocantins	Brazil	2020-11-02T05:25:04Z	-10.1753	-48.2982	75625	1097	63881	10647	Tocantins, Brazil	4808.10189806379	1.45057851239669
	""	""	Brunei	2020-11-02T05:25:04Z	4.5353	114.7277	148	3	143	2	Brunei	33.8298859612831	2.02702702702703
	""	""	Bulgaria	2020-11-02T05:25:04Z	42.7339	25.4858	54069	1298	20530	32241	Bulgaria	778.145326040575	2.40063622408404
	""	""	Burkina Faso	2020-11-02T05:25:04Z	12.2383	-1.5616	2500	67	2250	183	Burkina Faso	11.9598466805063	2.68
	""	""	Burma	2020-11-02T05:25:04Z	21.9162	95.956	53405	1258	34189	17958	Burma	98.1532846825334	2.35558468308211
	""	""	Burundi	2020-11-02T05:25:04Z	-3.3731	29.9189	589	1	511	77	Burundi	4.95341727343225	0.169779286926995
	""	""	Cabo Verde	2020-11-02T05:25:04Z	16.5388	-23.0418	8848	95	8012	741	Cabo Verde	1591.40125326446	1.07368896925859
	""	""	Cambodia	2020-11-02T05:25:04Z	11.55	104.9167	292	0	283	9	Cambodia	1.74651896937916	0
	""	""	Cameroon	2020-11-02T05:25:04Z	3.848	11.5021	22103	429	21151	523	Cameroon	83.2634417173236	1.94091299823553
	""	Alberta	Canada	2020-11-02T05:25:04Z	53.9333	-116.5765	27664	323	22169	5172	Alberta, Canada	626.854402732201	1.16758241758242
	""	British Columbia	Canada	2020-11-02T05:25:04Z	53.7267	-127.6476	14381	263	11728	2390	British Columbia, Canada	281.37807755438	1.82880189138447
	""	Diamond Princess	Canada	2020-11-02T05:25:04Z			0	1	0		Diamond Princess, Canada		
	""	Grand Princess	Canada	2020-11-02T05:25:04Z			13	0	13	0	Grand Princess, Canada		0
	""	Manitoba	Canada	2020-11-02T05:25:04Z	53.7609	-98.8139	6034	75	2704	3255	Manitoba, Canada	438.034521534035	1.24295657938349
	""	New Brunswick	Canada	2020-11-02T05:25:04Z	46.5653	-66.4619	344	6	303	35	New Brunswick, Canada	44.1029598983581	1.74418604651163
	""	Newfoundland and Labrador	Canada	2020-11-02T05:25:04Z	53.1355	-57.6604	291	4	284	3	Newfoundland and Labrador, Canada	55.8150240234768	1.3745704467354
	""	Northwest Territories	Canada	2020-11-02T05:25:04Z	64.8255	-124.8457	10	0	8	2	Northwest Territories,Canada	22.2697309816497	0
	""	Nova Scotia	Canada	2020-11-02T05:25:04Z	44.682	-63.7443	1111	65	1033	13	Nova Scotia, Canada	113.662288980487	5.85058505850585
	""	Nunavut	Canada	2020-11-02T05:25:04Z	70.2998	-83.1076	0	0	0	0	Nunavut, Canada		
	""	Ontario	Canada	2020-11-02T05:25:04Z	51.2538	-85.3232	79515	3195	68562	7758	Ontario, Canada	540.48351710498	4.01810979060555
	""	Prince Edward Island	Canada	2020-11-02T05:25:04Z	46.5107	-63.4168	64	0	64	0	Prince Edward Island, Canada	40.4658632506734	0
	""	Quebec	Canada	2020-11-02T05:25:04Z	52.9399	-73.5491	107918	6355	91488	9221	Quebec, Canada	1253.04620438775	5.8627232873127
	""	Saskatchewan	Canada	2020-11-02T05:25:04Z	52.9399	-106.4509	3218	25	2395	798	Saskatchewan, Canada	272.327375078914	0.776880049720323
	""	Yukon	Canada	2020-11-02T05:25:04Z	64.2823	-135	23	1	17	5	Yukon, Canada	55.9910414333707	4.34782608695652
	""	""	Central African Republic	2020-11-02T05:25:04Z	6.6111	20.9394	4866	62	1924	2880	Central African Republic	100.750264402153	1.27414714344431
	""	""	Chad	2020-11-02T05:25:04Z	15.4542	18.7322	1498	98	1324	76	Chad	9.11976658267918	6.54205607476636
	""	Antofagasta	Chile	2020-11-02T05:25:04Z	-23.6509	-70.3975	21404	540	20589	275	Antofagasta, Chile	3523.09500373642	2.52289291721174
	""	Araucania	Chile	2020-11-02T05:25:04Z	-38.9489	-72.3311	12592	157	11383	1052	Araucania, Chile	1315.47056906221	1.24682337992376
	""	Arica y Parinacota	Chile	2020-11-02T05:25:04Z	-18.594	-69.4785	9625	184	9185	256	Arica y Parinacota, Chile	4257.56851920661	1.91168831168831
	""	Atacama	Chile	2020-11-02T05:25:04Z	-27.5661	-70.0503	7879	90	7656	133	Atacama, Chile	2726.82595935545	1.1422769386978
	""	Aysen	Chile	2020-11-02T05:25:04Z	-45.9864	-73.7669	1044	5	988	51	Aysen, Chile	1012.03978363287	0.478927203065134
	""	Biobio	Chile	2020-11-02T05:25:04Z	-37.4464	-72.1416	29731	486	27979	1266	Biobio, Chile	1909.74463725386	1.63465742827352
	""	Coquimbo	Chile	2020-11-02T05:25:04Z	-29.959	-71.3389	12692	249	12355	88	Coquimbo, Chile	1675.32134965535	1.96186574219981
	""	Los Lagos	Chile	2020-11-02T05:25:04Z	-41.9198	-72.1416	15165	130	13764	1271	Los Lagos, Chile	1829.95699329559	0.857237059017475
	""	Los Rios	Chile	2020-11-02T05:25:04Z	-40.231	-72.3311	3595	32	3075	488	Los Rios, Chile	934.161736007712	0.890125173852573
	""	Magallanes	Chile	2020-11-02T05:25:04Z	-52.368	-70.9863	12365	136	11772	457	Magallanes, Chile	7424.95481376064	1.09987868985038
	""	Maule	Chile	2020-11-02T05:25:04Z	-35.5183	-71.6885	18985	423	17961	601	Maule, Chile	1816.8333413082	2.22807479589149
	""	Metropolitana	Chile	2020-11-02T05:25:04Z	-33.4376	-70.6505	297119	9864	285069	2186	Metropolitana, Chile	4177.23914380931	3.31988193282826
	""	Nuble	Chile	2020-11-02T05:25:04Z	-36.7226	-71.7622	7520	151	7118	251	Nuble, Chile	1564.68147704267	2.00797872340426
	""	OHiggins	Chile	2020-11-02T05:25:04Z	-34.5755	-71.0022	18711	496	17920	295	OHiggins, Chile	2045.91303967503	2.65084709529154
	""	Tarapaca	Chile	2020-11-02T05:25:04Z	-19.9232	-69.5132	12938	244	12393	301	Tarapaca, Chile	3913.9878629469	1.88591745246561
	""	Unknown	Chile	2020-11-02T05:25:04Z			49	1	49		Unknown, Chile		2.04081632653061
	""	Valparaiso	Chile	2020-11-02T05:25:04Z	-33.0472	-71.6127	30450	1059	28910	481	Valparaiso, Chile	1676.85260548201	3.47783251231527
	""	Anhui	China	2020-11-02T05:25:04Z	31.8257	117.2264	991	6	985	0	Anhui, China	1.56704617330803	0.605449041372351
	""	Beijing	China	2020-11-02T05:25:04Z	40.1824	116.4142	942	9	929	4	Beijing, China	4.37325905292479	0.955414012738854
	""	Chongqing	China	2020-11-02T05:25:04Z	30.0572	107.874	589	6	579	4	Chongqing, China	1.89877498388137	1.01867572156197
